"localidad_id","localidad_nombre","localidad_centroide_lat","localidad_centroide_lon","provincia_id","provincia_nombre","departamento_id","departamento_nombre","municipio_id","municipio_nombre","localidad_censal_id","localidad_censal_nombre","localidad_categoria"
"82070010","Cavour",-31.3648044588544,-61.0165431998554,"82","Santa Fe","82070","Las Colonias","823036","Cavour","82070010","Cavour","Localidad simple"
"82070130","Las Tunas",-31.5718902464727,-60.9961316027549,"82","Santa Fe","82070","Las Colonias","823127","Las Tunas","82070130","Las Tunas","Localidad simple"
"82070100","Humboldt",-31.4008584245866,-61.0822981722449,"82","Santa Fe","82070","Las Colonias","823099","Humboldt","82070100","Humboldt","Localidad simple"
"82070140","María Luisa",-31.0108438391605,-60.9107615775877,"82","Santa Fe","82070","Las Colonias","823134","María Luisa","82070140","María Luisa","Localidad simple"
"82070200","Providencia",-30.9827403142746,-61.021127137163,"82","Santa Fe","82070","Las Colonias","823169","Providencia","82070200","Providencia","Localidad simple"
"82070110","Jacinto L. Aráuz",-30.7342982152469,-60.9755533250682,"82","Santa Fe","82070","Las Colonias","823113","Jacinto L. Aráuz","82070110","Jacinto L. Aráuz","Localidad simple"
"82070240","San Carlos Norte",-31.6735445793516,-61.0747670253268,"82","Santa Fe","82070","Las Colonias","823204","San Carlos Norte","82070240","San Carlos Norte","Localidad simple"
"82070180","Plaza Matilde",-31.7962668841232,-61.0100134903629,"82","Santa Fe","82070","Las Colonias","823141","Matilde","82070180","Plaza Matilde","Localidad simple"
"82070210","Sa Pereyra",-31.5704558103065,-61.376534144157,"82","Santa Fe","82070","Las Colonias","823190","Sa Pereyra","82070210","Sa Pereyra","Localidad simple"
"82070170","Pilar",-31.4404106897364,-61.2595980555326,"82","Santa Fe","82070","Las Colonias","823155","Pilar","82070170","Pilar","Localidad simple"
"82070220","San Agustín",-31.6828736489464,-60.9406357226933,"82","Santa Fe","82070","Las Colonias","823197","San Agustín","82070220","San Agustín","Localidad simple"
"82070260","San Jerónimo del Sauce",-31.6090293079564,-61.1413538950116,"82","Santa Fe","82070","Las Colonias","823218","San Jerónimo del Sauce","82070260","San Jerónimo del Sauce","Localidad simple"
"82070250","San Carlos Sud",-31.7608202850359,-61.1005778448837,"82","Santa Fe","82070","Las Colonias","823211","San Carlos Sud","82070250","San Carlos Sud","Componente de localidad compuesta"
"82070160","Nuevo Torino",-31.3450074576332,-61.2351345818364,"82","Santa Fe","82070","Las Colonias","823148","Nuevo Torino","82070160","Nuevo Torino","Localidad simple"
